vie,eng
"Vãn giác văn chương chân tiểu kỹ,","In old age, I understand that literature is just a small skill,"
Tảo tri phú quý hữu nguy ky.,I've long known that wealth and honor contain danger.
"Vị quân thuỳ thế, quân tri phủ,","I shed tears for you, do you know?"
Thiên cổ hoa đình hạc tự phi.,"Since ancient times, cranes have flown alone in magnificent pavilions."
"""Bình thủy tương phùng"", đàm phiến khắc, ","""Floating weeds meet,"" a brief chat,"
Quách quân đối ngã thậm ân cần; ,Uncle Guo was very kind to me;
"""Tuyết trung tống thán"" tuy nhiên thiểu,","Those who ""give charcoal in the snow"" are few,"
Thế giới nhưng tồn giá chủng nhân.,But there are still such people in the world.
"Điểu táo viên hô trú bế môn,","Birds scream, monkeys howl; doors are closed during the day."
Tịch liêu thuỳ thức cổ hoàng tôn.,"Desolate and empty, who knows where the ancient prince has gone?"
"Thanh ngưu cửu dĩ từ viên ách,","His green buffalo has long since cast off the yoke and plow,"
Bạch hạc thì lai phỏng tử tôn.,"And now, a white crane flies to visit his descendants."
"Sơn cận sóc phong xuy tích tuyết,","Nearby mountains, the north wind blows snowdrifts,"
Thiên hàn lạc nhật đạm cô thôn.,"Cold weather, the sun casts a pale shadow on the deserted village."
"Đạo nhân ưng quái du nhân chúng,","Perhaps the Taoist priest is surprised, why so many visitors!"
Cấp tận giai tiền tỉnh thuỷ hỗn.,They drank up a whole well in front of the courtyard.
"Lung ngoại lục thập cửu nhân áng,","Besides sixty-nine gangs working outside,"
Lung trung đích áng bất tri số;,Countless gangs inside the prison;
"Giam phòng khước tượng bào dược đường,","Prison cells resemble apothecaries,"
Hựu tượng nhai thượng mãi áng phố.,Everyone looks just like gang shops on the street!
"Kỷ thập nhật lai lao tẩu lộ,","For dozens of days, exhausted from walking,"
Kim thiên đắc tháp hoả xa hành;,"Today, we got to ride the train;"
"Tuy nhiên chỉ đắc toạ thán thượng,","Even though sitting on a pile of coal,"
Tất cánh tỷ đồ bộ phiêu lương.,It's still better than walking!
"Nhất tâm chỉ tưởng tự do cảnh,","Longing only for freedom,"
Yểm mệnh khiêu xa tha tẩu khai;,"He risked his life, jumped off the train, and escaped;"
"Khả tích tha bào bán lý hử,","Unfortunately, after running only half a mile,"
Hựu bị cảnh binh tróc hồi lai!,He was caught by the guards and brought back.
"Giam phòng Ban trưởng thiên thiên đổ,","The prison warden gambles every day,"
Cảnh trưởng tham thôn giải phạm tiền;,The greedy police chief takes money from the prisoners;
"Huyện trưởng thiêu đăng biện công sự,","The district magistrate works by lamplight,"
Lai Tân y cựu thái bình thiên.,Lai Tan is as peaceful as ever.
"Hoàng Sơn phong cảnh phi thường hảo,","The mountain scenery in Huangshan is exceptionally beautiful,"
Nhất thiên hạ vũ ngũ thiên tình.,"One day of rain, five days of dryness,"
"Triêu tuỳ tân khách tống lão khách,","Early morning, seeing off old guests with new ones,"
Dạ thính tuyền thanh hoạ điểu thanh.,"At night, hearing the streams answer the birds."
"Xuân tiêu nhất khắc trị thiên câm,","Spring night, a moment worth a thousand gold,"
Hoa hữu thanh hương nguyệt hữu âm.,"Flowers have a fresh fragrance, the moon has a shadow."
"Ca quản lâu đài thanh tế tế,","Singing and flute sounds from the castles are melodious,"
Thu thiên viện lạc dạ trầm trầm.,Rising and falling in the courtyard in the quiet late night.
"Khổ dược, bôi tương can cánh khổ,","Bitter medicine, the closer to the end, the more bitter it gets,"
"Nan quan, mạt bộ bội gian nan;","Difficult passes, the closer to the end, the more difficult they become;"
"Trưởng quan bộ chỉ cách lý hử,","The official's residence is only a mile away,"
Hà cố trường lưu ngã thử gian?,Why are we kept here?
"Thuỵ thì đô tượng thuần lương hán,","When sleeping, everyone seems innocent,"
"Tỉnh hậu tài phân thiện, ác nhân;","When awake, the good and the evil are clearly distinguished;"
"Thiện, ác nguyên lai vô định tính,","Good and evil are not inherent qualities,"
Đa do giáo dục đích nguyên nhân.,They are mostly the result of education.
"Tưởng giá nan quan thị tối hậu,","I thought this difficult pass was the last,"
Tự do nhật tử khoái lai lâm;,The day of freedom was coming quickly;
Na tri hoàn hữu nan quan tại:,"Unexpectedly, there was another difficult pass:"
Ngã môn ưng cai giải Quế Lâm.,We were taken to Guilin.
"“Nhất nhật tù, thiên thu tại ngoại”,","""One day in prison, a thousand autumns outside"","
Cổ nhân chi thoại bất sai ngoa!,The words of the ancients are truly correct;
"Tứ nguyệt phi nhân loại sinh hoạt,","Living like a non-human for four months,"
Sử dư tiều tuỵ thập niên đa.,Made me more haggard than ten years.
Nhân vị:,Because:
"Tứ nguyệt ngật bất bão,","Four months without enough food,"
"Tứ nguyệt thuỵ bất hảo,","Four months without restful sleep,"
"Tứ nguyệt bất hoán y,","Four months without changing clothes,"
Tứ nguyệt bất tẩy táo.,Four months without bathing.
Sở dĩ:,Therefore:
"Lạc liễu nhất chích nha,","Lost a tooth,"
"Phát bạch liễu hứa đa,","Hair turned gray a lot,"
"Hắc sấu tượng ngã quỷ,","Thin and dark like a hungry ghost,"
Toàn thân thị lại sa.,"Scabies all over the body,"
Hạnh nhi:,Fortunately:
"Trì cửu hoà nhẫn nại,","Persistent and patient,"
"Bất khẳng thoái nhất phân,","Did not retreat an inch,"
"Vật chất tuy thống khổ,","Although physically suffering,"
Bất động dao tinh thần.,The spirit was not shaken.
"Thuỳ tác Hoàn Y tam lộng,",Who made three plum blossom poems like Huan Yi
Kinh phá lục song u mộng.,Shattered the melancholic dreams behind the bars
"Tân nguyệt dữ sầu yên,",The crescent moon along with the sad smoke
Mãn giang thiên.,Covering the sky and river
"Dục khứ hựu hoàn bất khứ,",Wanting to go but staying
Minh nhật lạc hoa phi nhứ.,"Tomorrow, silk will fly, flowers will fall"
"Phi nhứ tống hành chu,","Silk flies, farewelling the boat on its journey"
Thuỷ đông lưu.,Following the current flowing eastward.
"Quế Lâm vô quế diệc vô lâm,","Guilin has no cinnamon and no forest,"
Chỉ kiến sơn cao dữ thủy thâm;,Only high mountains and deep rivers;
"Dung ấm giam phòng chân khả phạ,","The banyan tree casts its shadow on the prison cell, truly terrifying,"
"Bạch thiên hắc hắc, dạ trầm trầm.","Dark during the day, silent at night."
"Sơ lai yếu nạp nhập lung tiền,","Upon arrival, you must pay a fee to enter the jail,"
Chí thiểu nhưng tu ngũ thập nguyên;,at least fifty dong;
"Thảng nhĩ vô tiền bất năng nạp,","If you have no money, cannot pay,"
Nhĩ tương bộ bộ bính ma phiền.,Every step you take will be troublesome.
"Hoa Tư mộng đoạn nhân hà xứ,","The dream of Hua Si just ended, where is the person?"
Thính đắc oanh đề hồng thụ.,Hearing the oriole singing on the persimmon tree.
"Kỷ điểm tường vi hương vũ,",A few drops of drizzle on the rose.
Tịch mịch nhàn đình hộ.,The house is deserted and desolate.
"Noãn phong bất giải lưu hoa trú,","The warm wind doesn't know how to keep the flowers,"
Phiến phiến trứ nhân vô số.,Many petals fall and cling to people.
"Lâu thượng vọng xuân quy khứ,","On the upper floor, watching spring go away,"
Phương thảo mê quy lộ.,Fragrant grass makes the way back lost.
"Liễu Châu, Quế Lâm hựu Liễu Châu,","Lieu Chau, Que Lam and then Lieu Chau again,"
"Thích lai thích khứ, tượng bì cầu;",Kicking back and forth like a leather ball;
"Hàm oan đạp biến Quảng Tây địa,","Bearing injustice throughout Guangxi,"
Bất tri giải đáo kỷ thời hưu?,I don't know when the solution will come.
"Đổng công tặng ngã dĩ trường thi,","Mr. Dong gave me a long poem,"
"Ngã dục tác thi phụng hoạ chi,",I want to write a poem in response to him.
"Khả thị kháng Mỹ cứu quốc sự,","But the work of resisting America and saving the country,"
Hoàn toàn chiếm lĩnh ngã tâm ti.,Has completely occupied my mind.
"Thường tiện nhân gian trác ngọc lang,","Often liking handsome boys in the world,"
Thiên ưng khất dữ điểm tô nương.,Heaven also loves to send another beautiful person.
"Tự tác thanh ca truyền hạo xỉ,","People praise the beautiful voice and beautiful smile,"
"Phong khởi,","Suddenly the wind rises,"
Tuyết phi viêm hải biến thanh lương.,"Snow flies to the hot sea, making it cool."
"Vạn lý quy lai niên dũ thiếu,","She returns from a faraway place, looking even younger,"
"Vi tiếu,","When smiling,"
Tiếu thì do đới lĩnh mai hương.,The smile still carries the fragrance of apricot blossoms from Linh Nam.
Thí vấn Lĩnh Nam ưng bất hảo?,"I asked her, is the climate in Linh Nam not good?"
Khước đạo:,"She said,"
Thử tâm an xứ thị ngô hương.,Wherever this heart is settled is my hometown.
Nhị xích khoát hề tam xích trường,"Two meters wide and three meters long,"
Tứ nhân trú thử nhật bàng hoàng,Four people are always huddled inside;
Yếu thân thân cước dã bất khả,"Wanting to stretch my legs a bit is not possible,"
Nhân vị nhân đa thiểu địa phương,Because there are many people and the land is narrow.
"Ngật câu phạn thái, thuỵ câu chiên","Enough rice and vegetables to eat, enough blankets to sleep,"
"Hựu cấp linh tiền mãi báo, yên","Also given money to buy newspapers, buy cigarettes,"
Chủ nhiệm Lương công ưu đãi ngã,"Director Liang is kind to me,"
Ngã tâm cảm khích bất thăng ngôn,My heart is grateful beyond words.
"Lâm đoạn sơn minh trúc ẩn tường,","Broken forest, exposed mountains, bamboo hiding by the wall,"
Loạn thiền suy thảo tiểu trì đường.,"Cicadas chirping loudly, grass withered on the small lake shore."
"Phiên không bạch điểu thời thời kiến,","The sky seems to tilt as many white birds fly back,"
Chiếu thủy hồng cừ tế tế hương.,"Lotus flowers reflected on the water, emitting a gentle fragrance."
"Thôn xá ngoại,","Outside the village,"
"Cổ thành bàng,","Beside the old city wall,"
Trượng lê từ bộ chuyển tà dương.,A crutch slowly walks under the shifting afternoon shadow.
"Ân cần tạc dạ tam canh vũ,","Last night at the third watch, the rain fell softly,"
Hựu đắc phù sinh nhất nhật lương.,Having another cool day in this fleeting life.
"Thập niên sinh tử lưỡng mang mang,","Ten years of life and death, both are unfathomable,"
"Bất tư lường,","Not thinking about it,"
Tự nan vương.,But still hard to forget.
"Thiên lý cô phần,","A lonely grave thousands of miles away,"
Vô xứ thoại thê lương.,Nowhere to tell all the sadness.
"Túng sử tương phùng ưng bất thức,","Even if we meet, we won't recognize each other,"
"Trần mãn diện,","(Because we now) face covered in dust,"
Mấn như sương.,Hair at the temples like frost.
"Dạ lai u mộng hốt hoàn hương,","Last night in a dream suddenly returned home,"
"Tiểu hiên song,","Small window under the small eaves,"
Chính sơ trang.,While combing hair.
"Tương cố vô ngôn,","Looking at each other, speechless,"
Duy hữu lệ thiên hàng.,Only tears streaming down.
"Liệu đắc niên niên trường đoạn xứ,","If only every year I could reach that heartbreaking place,"
"Minh nguyệt dạ,","Those bright moonlit nights,"
Đoản tùng cương.,On the pine hill.
"Mai khôi hoa khai hoa hựu tạ,","Roses bloom, roses wither,"
Hoa khai hoa tạ lưỡng vô tình;,Blooming and withering are both indifferent;
"Hoa hương thấu nhập lung môn lý,","Fragrance drifts into the depths of prison,"
Hướng tại lung nhân tố bất bình.,To tell the prisoner of injustice.
"Lão phu liêu phát thiếu niên cuồng,","This old man displays the wildness of youth,"
"Tả khiên hoàng,","Left hand holds a golden dog,"
"Hữu kình thương,","Right hand raises a blue falcon,"
"Cẩm mạo điêu cầu,","Embroidered robe and sable coat,"
Thiên kỵ quyển bình cương.,Thousands of cavalry sweep across the flat hill.
"Vị báo khuynh thành tuỳ thái thú,","To repay the people of the city who followed the magistrate,"
"Thân xạ hổ,","So personally shoot the tiger,"
Khán Tôn lang.,Imitating the old Master Sun.
"Tửu hàm hung đảm thượng khai trương,","Drunk and courageous,"
"Mấn vi sương,","Hair streaked with silver,"
Hựu hà phương?,But what does it matter?
"Trì tiết Vân Trung,","When will there be another Feng Tang mission,"
Hà nhật khiển Phùng Đường?,Carrying the governor's flag to Yunzhong?
"Hội vãn điêu cung như mãn nguyệt,","Draw the bow taut, like a full moon,"
"Tây bắc vọng,","Look to the northwest,"
Xạ Thiên Lang.,Shoot the Sirius star.
"Một hữu tự do chân thống khổ,","Without true freedom, real suffering,"
Xuất cung dã bị nhân chế tài;,Even going to the toilet is restricted;
"Khai lung chi thì đỗ bất thống,","When the prison door opens, the stomach doesn't ache,"
Đỗ thống chi thì lung bất khai.,"When the stomach aches, the prison doesn't open."
"Nhuyễn thảo bình sa quá vũ tân,","New grass refreshed by the rain,"
"Khinh bộ tẩu mã lộ vô trần,","Riding on a thin sandy road, no dust,"
Hà thì thu thập ngẫu canh thân.,When will I become a pair of plowmen?
"Nhật noãn tang ma hưng tự bát,","On a warm sunny day, brambles glisten as if watered,"
"Phong lai hao ngải khí như huân,","Wind through tall trees, mugwort releases fragrance,"
Sứ quân nguyên thị thử trung nhân.,The magistrate also originally came from there.
"Sơn hạ lan nha đoản tẩm khê,","Below the mountain, reeds sprout, a short stream irrigates,"
"Tùng gian sa lộ tịnh vô nê,","Amidst the pines, a dust-free sandy path,"
Tiêu tiêu mộ vũ tử quy đề.,"Light evening rain, the cuckoo calls."
"Thuỳ đạo nhân sinh vô tái thiểu,","Who says people don't grow young again,"
"Môn tiền lưu thuỷ thượng năng tê,","Before the door, the water flows westward,"
Hưu tương bạch phát xướng hoàng kê.,Don't think white hair means singing the yellow chicken song.
"Đông phong vị khẳng nhập đông môn,",The east wind still hasn't entered the east gate
Tẩu mã hoàn tầm khứ tuế thôn.,Riding a horse to find last year's village
"Nhân tự thu hồng lai hữu tín,","People are like swallows, news comes in autumn"
Sự như xuân mộng liễu vô ngân.,"Everything is like a spring dream, vanishing without a trace"
"Giang thành bạch tửu tam bôi nghiệm,",Drink three cups of strong wine in Jiangcheng.
Dã lão thương nhan nhất tiếu ôn.,The old man from the countryside has a bright face and a warm smile.
"Dĩ ước niên niên vi thử hội,",We agreed to meet here every year.
Cố nhân bất dụng phú “Chiêu hồn”.,"My dear friend, there's no need for the ""Calling the Soul"" poem."
"Tuyền mạt hồng trang khan sứ quân,","Put on your makeup, wear your red dress, and go watch the mandarin."
"Tam tam ngũ ngũ cức ly môn,","Groups of five, groups of three, stand by the thorny fence,"
Tương ai đạp phá thiến la quần.,"Pushing and shoving, tearing their silk pants."
"Lão ấu phù huề thu mạch xã,",Old and young go together to meet the rice and offer sacrifices to the gods.
"Ô diên tường vũ tái thần thôn,",Crows fly over the waterside villages.
Đạo phùng tuý tẩu ngoạ hoàng hôn.,"On the way, I met a drunkard lying down in the late afternoon."
"Dạ ẩm Đông Pha tỉnh phục tuý,","Drinking at night in Dongpo, sober then drunk again,"
"Quy lai phảng phất tam canh,","Returning around the third watch,"
Gia đồng tỵ tức dĩ lôi minh.,The children serving in the house snored like thunder.
"Xao môn đô bất ứng,",I knocked on the door but no one answered.
Ỷ trượng thính giang thanh.,"Alone, I leaned on my cane and listened to the river."
"Trường hận thử thân phi ngã hữu,","Angry that this body is not mine,"
Hà thì vong khước doanh doanh?,When will I forget thoughts of fame and fortune?
Dạ lan phong tĩnh hộc văn bình.,"Late night, the wind is calm, the waves ripple."
"Tiểu chu tòng thử thệ,","The small boat leaves from here,"
Giang hải ký dư sinh.,Entrusting my remaining life to the rivers and seas.
"Bách chiết bất hồi, hướng tiền tiến,","A hundred thousand hardships cannot make me retreat, I still keep going."
"Cô thần nghiệt tử, nghĩa đương nhiên;","My fate, a lonely orphan, my country lost, righteousness must be like this;"
"Quyết tâm, khổ cán dữ ngạnh cán,","Determined, hard-working, and resolute,"
Tự hữu thành công đích nhất thiên.,There will certainly be a day of success.
"Thanh Dĩnh đông lưu,","The clear water of the Ying River flows east,"
Sầu mục đoạn.,"Sad because it's too far, I can't clearly see"
Cô phàm minh diệt.,A lone sail appearing and disappearing.
"Hoạn du xứ,",Transferred to many places to work.
"Thanh sơn bạch lãng,","Green mountains, white waves, layer upon layer."
Vạn trùng thiên điệp.,"That day, alone in a corner of the forest,"
"Cô phụ đương niên lâm hạ ý,",Hearing the night rain like the sound of flutes and iron.
Đối sàng dạ vũ thính tiêu sắt.,I hate this life.
Hận thử sinh.,"Always having to say goodbye,"
"Trường hướng biệt ly trung,",My hair grows even whiter.
"Nhất tôn tửu,",The Yellow River tilts.
Hoàng Hà trắc.,"Life is full of events,"
"Vô hạn sự,",I will tell them all in order.
Tòng đầu thuyết.,"Many years have passed,"
"Tương khán hoảng như tạc,","Now suddenly startled to see each other's faces,"
Hứa đa niên nguyệt.,As if it were the old days.
"Y thượng cựu ngân dư khổ lệ,","Tears fall, wetting the dried tear stains on my shirt,"
Mi gian hỉ khí thiêm hoàng sắc.,The joy cannot hide the dark circles under my eyes.
Tiện dữ quân.,"Taking this opportunity with you,"
"Trì thượng mịch tàn xuân,","I try to find the fading spring on the lake,"
Hoa như tuyết.,Only to see flowers as white as snow.
"Ấu nhi học dã, tráng nhi hành,","When young, one must study, when grown up, one will practice,"
"Thượng trung đảng, quốc, hạ trung dân;","Loyal to the party and the country above, loyal to the people below;"
"Kiệm cần, dũng cảm hoà liêm chính,","Thrifty, brave, and honest,"
Vô phụ Lương công giáo dục tình.,Do not betray Mr. Luong's teachings.
"Hùng đáo sơn phong vãn thập điểm,","The Big Dipper reached the mountaintop at ten o'clock at night,"
Trùng thanh đoạn tục khánh thu lai;,The sound of insects chirping welcomes autumn;
"Tù nhân bất quản thu lai vị,","The prisoner doesn't care if it's autumn or not,"
Chỉ quản tù lung hà thời khai. ,He only cares about when the prison door will open.
"Khứ tuế thu sơ ngã tự do,","Last autumn I was free,"
Kim niên thu thủ ngã cư tù;,This autumn I am in prison;
"Thảng năng tì ích ngô dân tộc,","If it benefits the nation,"
Khả thuyết kim thu trị khứ thu.,"Then it can be said, this autumn is equal to the last."
"Tòng tiền tống phạn thiên thiên tảo,","Before, meals were brought very early every day,"
Hiện tại khai xan trì hựu trì;,"Now, meals are late and getting later;"
"Huống phục thời gian bất nhất định,","Moreover, the time is uncertain,"
"Thập, thập nhất, hoặc thập nhị thì.","Sometimes ten o'clock, sometimes eleven, or twelve o'clock."
"Nhất niên chỉ kiến binh hòa cảnh,","All year round, I only see soldiers and police,"
Kim nhật khan kiến nho nhã nhân;,Today I finally see a scholar;
"Nhã nhân sử ngã tâm hưng phấn,","The scholar makes my heart excited,"
Ngã phát hắc phản lưỡng tam phân.,My black hair has returned by two or three parts.
"Khoảnh thừa chủ nhiệm tống thư lai,","Just now, the director brought me some books,"
Độc bãi tinh thần giác đốn khai;,"After reading them, my mind suddenly opened up;"
"Lãnh tụ vĩ ngôn như tại nhĩ,","The leader's words still echo in my ears,"
Thiên biên oanh động nhất thanh lôi.,Like a clap of thunder on the horizon.
"Cửu nhàn lưỡng cước nhuyễn như miên, ","Idle for a long time, my legs are soft as cotton,"
Kim thí hành hành lũ dục điên; ,"Now, after taking a few steps, I stumble and almost fall;"
Phiến khắc dĩ văn Ban trưởng hám:,"In a moment, I hear the squad leader shout:"
"""Phản lai, bất chuẩn tái trì diên"".","""Turn back! No more dawdling!""."
"Địa phương đồng chí thái khách khí,","Local comrades are very hospitable,"
Đối ngã môn vô vi bất chí.,They take care of us meticulously
"Cơ hồ thiên thiên khứ tham quan,","Almost every day we go sightseeing,"
Vãn vãn thỉnh ngã môn khán hý.,Every night they invite us to see plays.
"Môn tiền vệ sĩ chấp thương lập,","In front of the door, guards stand with their guns,"
Thiên thượng tàn vân bạng nguyệt phi;,"In the sky, scattered clouds drift by the moon;"
"Mộc sắt tung hoành như thản khắc,","Bed bugs crawl like tanks,"
Văn trùng tụ tán tự phi ky;,Mosquitoes swarm like airplanes;
"Tâm hoài cố quốc thiên đường lộ,","My heart misses my homeland thousands of miles away,"
"Mộng nhiễu tân sầu, vạn lũ ti;",Dreams linger with new sorrows like a million threads;
"Vô tội nhi tù dĩ nhất tải,","Innocently imprisoned for a year now,"
Lão phu hoà lệ tả tù thi.,This old man mixes tears with prison poems.
"Sự vật tuần hoàn nguyên hữu định,","The cycle of things is predetermined,"
Vũ thiên chi hậu tất tình thiên;,"After rain, there will be sunshine;"
"Phiến thì vũ trụ giải lâm phục,","In a moment, the universe has taken off its wet clothes,"
Vạn lý sơn hà sái cẩm chiên;,Thousands of miles of rivers and mountains display the colors of brocade blankets;
"Nhật noãn phong thanh hoa đới tiếu,","The weather is warm, the wind is gentle, flowers smile shyly,"
Thụ cao chi nhuận điểu tranh nghiên;,"Tall trees, smooth branches, birds sing in competition;"
"Nhân hoà vạn vật đô hưng phấn,","People and all things are excited,"
"Khổ tận cam lai, lý tự nhiên.",From suffering to happiness is the natural order.
"Cổ thi thiên ái thiên nhiên mỹ, ","Ancient poetry tends to love beautiful natural scenery,"
Sơn thuỷ yên hoa tuyết nguyệt phong; ,"Mountains, rivers, smoke, flowers, snow, moon, wind;"
"Hiện đại thi trung ưng hữu thiết, ","In today's poetry, there should be steel,"
Thi gia dã yếu hội xung phong.,Poets must also know how to charge forward.
"Thụ sao xảo họa Trương Phi tượng, ","The treetop skillfully draws the shape of Zhang Fei,"
Xích nhật trường minh Quan Vũ tâm; ,The red sun shines brightly in the heart of Guan Yu.
"Tổ quốc chung niên vô tín tức, ","No news from the homeland all year,"
